Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Length,Width,Destination
01/06/2024 09:40:00,Class A,224100002,35.986,-5.328,Under way using engine,0,,170,170,,,,,,,
01/06/2024 09:45:00,Class A,224100002,35.977,-5.321,Under way using engine,0,,170,170,,,,,,,
01/06/2024 09:50:00,Class A,224100002,35.968,-5.314,Under way using engine,0,,170,170,,,,,,,
01/06/2024 09:55:00,Class A,224100002,35.959,-5.307,Under way using engine,0,,170,170,,,,,,,
01/06/2024 10:00:00,Class A,224100002,35.95,-5.3,Under way using engine,0,,170,170,,,,,,,
01/06/2024 08:00:00,Class A,224100003,,,Under way using engine,,,,,9345697,EAES3,GHOST OF GIB,Cargo,140.0,22.0,ALGECIRAS
01/06/2024 08:00:00,Class A,224100003,36.05,-5.9,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:06:00,Class A,224100003,36.04524,-5.8619,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:12:00,Class A,224100003,36.04048,-5.82381,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:18:00,Class A,224100003,36.03571,-5.78571,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:24:00,Class A,224100003,36.03095,-5.74762,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:30:00,Class A,224100003,36.02619,-5.70952,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:36:00,Class A,224100003,36.02143,-5.67143,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:42:00,Class A,224100003,36.01667,-5.63333,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:48:00,Class A,224100003,36.0119,-5.59524,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:54:00,Class A,224100003,36.00714,-5.55714,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:00:00,Class A,224100003,36.00238,-5.51905,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:06:00,Class A,224100003,35.99762,-5.48095,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:12:00,Class A,224100003,34.6,-3.2,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:18:00,Class A,224100003,35.9881,-5.40476,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:24:00,Class A,224100003,35.98333,-5.36667,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:30:00,Class A,224100003,35.97857,-5.32857,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:36:00,Class A,224100003,35.97381,-5.29048,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:42:00,Class A,224100003,35.96905,-5.25238,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:48:00,Class A,224100003,35.96429,-5.21429,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:54:00,Class A,224100003,35.95952,-5.17619,Under way using engine,0,,90,90,,,,,,,
01/06/2024 10:00:00,Class A,224100003,35.95476,-5.1381,Under way using engine,0,,90,90,,,,,,,
01/06/2024 10:06:00,Class A,224100003,35.95,-5.1,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:00:00,Class A,224100004,,,Under way using engine,,,,,9345702,EAES4,CEUTA LOCAL,Passenger,45.0,10.0,CEUTA
01/06/2024 08:00:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 08:20:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 08:40:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 09:00:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 09:20:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 09:40:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 10:00:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 10:20:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 10:40:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 11:00:00,Class A,224100004,35.95,-5.3,At anchor,0,0.1,0,0,,,,,,,
01/06/2024 08:00:00,Class A,224100005,,,Under way using engine,,,,,9345714,EAES5,FAST SKIFF,Cargo,30.0,8.0,UNKNOWN
01/06/2024 08:00:00,Class A,224100005,36.0,-5.5,Under way using engine,0,13.0,180,180,,,,,,,
01/06/2024 08:02:00,Class A,224100005,36.0033,-5.52,Under way using engine,0,55.0,180,180,,,,,,,
01/06/2024 08:00:00,Class A,224100006,,,Under way using engine,,,,,9345726,EAES6,SHADOW ONE,Cargo,90.0,15.0,UNKNOWN
01/06/2024 08:00:00,Class A,224100006,35.9,-3.5,Under way using engine,0,1.0,0,0,,,,,,,
01/06/2024 08:05:00,Class A,224100006,35.9,-3.5,Under way using engine,0,1.0,0,0,,,,,,,
01/06/2024 08:10:00,Class A,224100006,35.9,-3.5,Under way using engine,0,1.0,0,0,,,,,,,
01/06/2024 08:15:00,Class A,224100006,35.9,-3.5,Under way using engine,0,1.0,0,0,,,,,,,
01/06/2024 08:20:00,Class A,224100006,35.9,-3.5,Under way using engine,0,1.0,0,0,,,,,,,
01/06/2024 08:25:00,Class A,224100006,35.9,-3.5,Under way using engine,0,1.0,0,0,,,,,,,
01/06/2024 08:00:00,Class A,224100007,,,Under way using engine,,,,,9345738,EAES7,SHADOW TWO,Cargo,40.0,9.0,UNKNOWN
01/06/2024 08:00:00,Class A,224100007,35.9004,-3.5004,Under way using engine,0,1.0,180,180,,,,,,,
01/06/2024 08:05:00,Class A,224100007,35.9004,-3.5004,Under way using engine,0,1.0,180,180,,,,,,,
01/06/2024 08:10:00,Class A,224100007,35.9004,-3.5004,Under way using engine,0,1.0,180,180,,,,,,,
01/06/2024 08:15:00,Class A,224100007,35.9004,-3.5004,Under way using engine,0,1.0,180,180,,,,,,,
01/06/2024 08:20:00,Class A,224100007,35.9004,-3.5004,Under way using engine,0,1.0,180,180,,,,,,,
01/06/2024 08:25:00,Class A,224100007,35.9004,-3.5004,Under way using engine,0,1.0,180,180,,,,,,,
01/06/2024 08:00:00,Class A,224100008,,,Under way using engine,,,,,9345740,EAES8,MEDITERRANEAN STAR,Cargo,130.0,20.0,MALAGA
01/06/2024 08:40:00,Class A,224100008,,,Under way using engine,,,,,9345740,EAES8,BLUE HORIZON,Cargo,130.0,20.0,MALAGA
01/06/2024 08:00:00,Class A,224100008,36.05,-4.2,Under way using engine,0,8.0,90,90,,,,,,,
01/06/2024 08:10:00,Class A,224100008,36.07,-4.18,Under way using engine,0,8.0,90,90,,,,,,,
01/06/2024 08:20:00,Class A,224100008,36.09,-4.16,Under way using engine,0,8.0,90,90,,,,,,,
01/06/2024 08:30:00,Class A,224100008,36.11,-4.14,Under way using engine,0,8.0,90,90,,,,,,,
01/06/2024 08:40:00,Class A,224100008,36.13,-4.12,Under way using engine,0,8.0,90,90,,,,,,,
01/06/2024 08:00:00,Class A,912345988,35.75,-2.8,Under way using engine,0,6.0,90,90,,,,,,,
01/06/2024 08:15:00,Class A,912345988,35.76,-2.79,Under way using engine,0,6.0,90,90,,,,,,,
01/06/2024 08:30:00,Class A,912345988,35.77,-2.78,Under way using engine,0,6.0,90,90,,,,,,,
01/06/2024 08:00:00,Class A,224100010,,,Under way using engine,,,,,1234568,EAES10,UNREGISTERED CARGO,Cargo,110.0,19.0,UNKNOWN
01/06/2024 08:00:00,Class A,224100011,,,Under way using engine,,,,,,EA11,ATLAS FERRY,Cargo,120.0,20.0,UNKNOWN
01/06/2024 08:00:00,Class A,224100011,36.085,-5.405,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:05:00,Class A,224100011,36.07706,-5.39882,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:10:00,Class A,224100011,36.06912,-5.39265,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:15:00,Class A,224100011,36.06118,-5.38647,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:20:00,Class A,224100011,36.05324,-5.38029,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:25:00,Class A,224100011,36.04529,-5.37412,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:30:00,Class A,224100011,36.03735,-5.36794,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:35:00,Class A,224100011,36.02941,-5.36176,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:40:00,Class A,224100011,36.02147,-5.35559,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:45:00,Class A,224100011,36.01353,-5.34941,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:50:00,Class A,224100011,36.00559,-5.34324,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:55:00,Class A,224100011,35.99765,-5.33706,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:00:00,Class A,224100011,35.98971,-5.33088,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:05:00,Class A,224100011,35.98176,-5.32471,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:10:00,Class A,224100011,35.97382,-5.31853,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:15:00,Class A,224100011,35.96588,-5.31235,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:20:00,Class A,224100011,35.95794,-5.30618,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:25:00,Class A,224100011,35.95,-5.3,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:00:00,Class A,224100012,,,Under way using engine,,,,,,EA12,PILLARS OF HERCULES,Cargo,120.0,20.0,UNKNOWN
01/06/2024 08:00:00,Class A,224100012,35.995,-5.61,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:05:00,Class A,224100012,35.98441,-5.62412,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:10:00,Class A,224100012,35.97382,-5.63824,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:15:00,Class A,224100012,35.96324,-5.65235,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:20:00,Class A,224100012,35.95265,-5.66647,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:25:00,Class A,224100012,35.94206,-5.68059,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:30:00,Class A,224100012,35.93147,-5.69471,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:35:00,Class A,224100012,35.92088,-5.70882,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:40:00,Class A,224100012,35.91029,-5.72294,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:45:00,Class A,224100012,35.89971,-5.73706,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:50:00,Class A,224100012,35.88912,-5.75118,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:55:00,Class A,224100012,35.87853,-5.76529,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:00:00,Class A,224100012,35.86794,-5.77941,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:05:00,Class A,224100012,35.85735,-5.79353,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:10:00,Class A,224100012,35.84676,-5.80765,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:15:00,Class A,224100012,35.83618,-5.82176,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:20:00,Class A,224100012,35.82559,-5.83588,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:25:00,Class A,224100012,35.815,-5.85,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:00:00,Class A,224100013,,,Under way using engine,,,,,,EA13,LEVANTE CARRIER,Cargo,120.0,20.0,UNKNOWN
01/06/2024 08:00:00,Class A,224100013,35.95,-5.1,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:05:00,Class A,224100013,35.95526,-5.14211,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:10:00,Class A,224100013,35.96053,-5.18421,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:15:00,Class A,224100013,35.96579,-5.22632,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:20:00,Class A,224100013,35.97105,-5.26842,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:25:00,Class A,224100013,35.97632,-5.31053,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:30:00,Class A,224100013,35.98158,-5.35263,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:35:00,Class A,224100013,35.98684,-5.39474,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:40:00,Class A,224100013,35.99211,-5.43684,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:45:00,Class A,224100013,35.99737,-5.47895,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:50:00,Class A,224100013,36.00263,-5.52105,Under way using engine,0,,90,90,,,,,,,
01/06/2024 08:55:00,Class A,224100013,36.00789,-5.56316,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:00:00,Class A,224100013,36.01316,-5.60526,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:05:00,Class A,224100013,36.01842,-5.64737,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:10:00,Class A,224100013,36.02368,-5.68947,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:15:00,Class A,224100013,36.02895,-5.73158,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:20:00,Class A,224100013,36.03421,-5.77368,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:25:00,Class A,224100013,36.03947,-5.81579,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:30:00,Class A,224100013,36.04474,-5.85789,Under way using engine,0,,90,90,,,,,,,
01/06/2024 09:35:00,Class A,224100013,36.05,-5.9,Under way using engine,0,,90,90,,,,,,,
